ワード,シナリオNo.,ターンNo.,情報の量,情報の質,有用性
AIReN,1,0,59,63,52
AIReN,1,1,69,77,68
AIReN,1,2,68,79,72
AIReN,1,3,63,67,66
AIReN,1,4,67,75,52
AIReN,1,5,60,69,58
AIReN,1,5,47,58,31
AIReN,1,6,75,78,55
AIReN,2,0,62,66,56
AIReN,2,1,77,74,66
AIReN,2,2,68,71,56
AIReN,2,3,79,87,67
AIReN,2,4,87,97,91
AIReN,2,5,67,73,69
AIReN,2,5,74,72,65
AIReN,3,0,71,77,53
AIReN,3,1,68,78,74
AIReN,3,2,77,84,80
AIReN,3,3,72,76,79
AIReN,3,4,70,84,50
AIReN,3,5,70,77,54
AIReN,4,0,87,100,76
AIReN,4,1,91,99,83
AIReN,4,2,80,91,65
AIReN,4,3,78,87,62
AIReN,4,4,66,70,57
AIReN,4,5,80,88,85
AIReN,5,0,67,73,54
AIReN,5,1,70,83,59
AIReN,5,2,68,80,56
AIReN,5,3,75,80,70
AIReN,5,4,67,65,61
AIReN,5,5,65,67,48
Guided,1,0,68,69,59
Guided,1,1,54,48,57
Guided,1,2,58,64,22
Guided,1,3,58,64,68
Guided,1,4,38,18,67
Guided,1,5,44,34,33
Guided,1,6,70,68,61
Guided,1,7,72,70,78
Guided,1,7,37,33,27
Guided,1,8,49,53,51
Guided,1,9,45,40,17
Guided,2,0,63,53,54
Guided,2,1,59,67,43
Guided,2,2,73,71,70
Guided,2,3,53,46,68
Guided,2,4,60,52,44
Guided,2,5,62,59,63
Guided,2,6,64,60,45
Guided,2,7,59,57,32
Guided,2,8,54,60,54
Guided,2,9,65,66,55
Guided,3,0,52,52,33
Guided,3,1,70,68,58
Guided,3,2,43,34,49
Guided,3,3,50,37,56
Guided,3,4,55,53,31
Guided,3,5,66,71,75
Guided,3,6,51,38,48
Guided,3,7,48,43,57
Guided,3,8,54,47,48
Guided,3,9,65,68,65
Guided,4,0,79,81,91
Guided,4,1,64,64,31
Guided,4,2,65,71,59
Guided,4,3,70,73,60
Guided,4,4,72,82,53
Guided,4,5,68,70,62
Guided,4,6,77,80,92
Guided,4,7,71,79,51
Guided,4,8,56,55,36
Guided,4,9,77,80,81
Guided,5,0,58,55,36
Guided,5,1,67,66,76
Guided,5,2,53,37,39
Guided,5,3,45,38,32
Guided,5,4,55,48,43
Guided,5,5,56,55,60
Guided,5,6,68,73,48
Guided,5,7,73,80,59
Guided,5,8,45,36,36
Guided,5,9,74,73,47
NoGuided,1,0,0,1,0
NoGuided,1,1,7,6,29
NoGuided,1,2,27,15,43
NoGuided,1,3,8,7,13
NoGuided,1,4,0,0,21
NoGuided,1,5,20,18,22
NoGuided,1,6,19,13,45
NoGuided,1,7,27,17,53
NoGuided,1,7,19,17,34
NoGuided,1,8,11,2,25
NoGuided,1,9,21,14,44
NoGuided,2,0,12,18,6
NoGuided,2,1,29,25,45
NoGuided,2,2,38,30,48
NoGuided,2,3,31,34,46
NoGuided,2,4,23,21,46
NoGuided,2,5,50,43,66
NoGuided,2,6,30,35,56
NoGuided,2,7,19,16,18
NoGuided,2,8,61,54,75
NoGuided,2,9,25,7,23
NoGuided,3,0,11,12,16
NoGuided,3,1,42,45,54
NoGuided,3,2,37,24,45
NoGuided,3,3,6,3,38
NoGuided,3,4,15,17,50
NoGuided,3,5,4,3,19
NoGuided,3,6,30,21,51
NoGuided,3,7,25,22,45
NoGuided,3,8,9,5,34
NoGuided,3,9,12,5,25
NoGuided,4,0,48,54,74
NoGuided,4,1,40,43,49
NoGuided,4,2,57,57,76
NoGuided,4,3,29,26,34
NoGuided,4,4,57,48,81
NoGuided,4,5,45,48,50
NoGuided,4,6,40,30,62
NoGuided,4,7,39,36,40
NoGuided,4,8,50,54,71
NoGuided,4,9,50,47,57
NoGuided,5,0,28,24,25
NoGuided,5,1,28,36,43
NoGuided,5,2,23,29,36
NoGuided,5,3,13,11,24
NoGuided,5,4,22,25,21
NoGuided,5,5,13,14,7
NoGuided,5,6,29,34,33
NoGuided,5,7,24,16,20
NoGuided,5,8,24,29,33
NoGuided,5,9,21,14,13
