ワード,シナリオNo.,ターンNo.,情報の量,情報の質,有用性,,,情報の量,情報の質,有用性
AIReN,1,0,4,5,3,,A-G,0.006437,0.023109,0.036630
AIReN,1,1,4,5,4,,G-N,0.002547,0.000000,0.001003
AIReN,2,0,4,5,4,,N-A,0.000006,0.000000,0.000065
AIReN,2,1,5,5,4,,,,,
AIReN,3,0,5,5,4,,,情報の量,情報の質,有用性
AIReN,3,1,5,5,4,,A,4.600,5.000,4.100
AIReN,4,0,5,5,5,,G,3.972,4.861,3.611
AIReN,4,1,5,5,5,,N,3.167,3.056,2.972
AIReN,5,0,4,5,4,,,,,
AIReN,5,1,5,5,4,,,,,
Guided,1,0,4,5,4,,,情報の量,情報の質,有用性
Guided,1,1,4,5,3,,A,0.943,0.422,0.919
Guided,1,2,3,5,2,,G,1.199,1.225,0.906
Guided,1,3,4,5,4,,N,1.167,1.179,0.776
Guided,1,4,2,4,4,,,,,
Guided,1,5,4,4,3,,,,,
Guided,1,6,5,5,4,,,,,
Guided,1,7,5,5,5,,,,,
Guided,2,0,4,5,4,,,,,
Guided,2,1,4,5,3,,,,,
Guided,2,2,5,5,4,,,,,
Guided,2,3,3,5,4,,,,,
Guided,2,4,4,5,3,,,,,
Guided,2,5,4,5,4,,,,,
Guided,2,6,4,5,3,,,,,
Guided,3,0,4,5,3,,,,,
Guided,3,1,5,5,4,,,,,
Guided,3,2,3,4,3,,,,,
Guided,3,3,3,5,4,,,,,
Guided,3,4,4,5,3,,,,,
Guided,3,5,4,5,4,,,,,
Guided,3,6,5,4,3,,,,,
Guided,4,0,5,5,5,,,,,
Guided,4,1,4,5,2,,,,,
Guided,4,2,4,5,4,,,,,
Guided,4,3,4,5,4,,,,,
Guided,4,4,5,5,4,,,,,
Guided,4,5,5,5,4,,,,,
Guided,4,6,5,5,5,,,,,
Guided,5,0,4,5,3,,,,,
Guided,5,1,4,5,4,,,,,
Guided,5,2,3,5,3,,,,,
Guided,5,3,3,4,3,,,,,
Guided,5,4,3,5,3,,,,,
Guided,5,5,3,5,4,,,,,
Guided,5,6,4,5,4,,,,,
NoGuided,1,0,1,1,1,,,,,
NoGuided,1,1,1,3,3,,,,,
NoGuided,1,2,2,2,3,,,,,
NoGuided,1,3,1,2,2,,,,,
NoGuided,1,4,2,1,2,,,,,
NoGuided,1,5,2,2,2,,,,,
NoGuided,1,6,2,3,3,,,,,
NoGuided,1,7,2,4,4,,,,,
NoGuided,2,0,1,3,2,,,,,
NoGuided,2,1,3,3,3,,,,,
NoGuided,2,2,3,4,3,,,,,
NoGuided,2,3,2,4,3,,,,,
NoGuided,2,4,3,2,4,,,,,
NoGuided,2,5,5,5,4,,,,,
NoGuided,2,6,4,3,4,,,,,
NoGuided,3,0,2,2,2,,,,,
NoGuided,3,1,4,5,4,,,,,
NoGuided,3,2,4,3,3,,,,,
NoGuided,3,3,3,1,3,,,,,
NoGuided,3,4,4,2,3,,,,,
NoGuided,3,5,4,2,2,,,,,
NoGuided,3,6,5,3,3,,,,,
NoGuided,4,0,5,5,4,,,,,
NoGuided,4,1,4,5,3,,,,,
NoGuided,4,2,5,5,4,,,,,
NoGuided,4,3,2,4,2,,,,,
NoGuided,4,4,5,5,5,,,,,
NoGuided,4,5,5,5,3,,,,,
NoGuided,4,6,5,3,4,,,,,
NoGuided,5,0,4,3,3,,,,,
NoGuided,5,1,4,3,3,,,,,
NoGuided,5,2,3,3,3,,,,,
NoGuided,5,3,2,2,3,,,,,
NoGuided,5,4,3,2,2,,,,,
NoGuided,5,5,3,2,2,,,,,
NoGuided,5,6,4,3,3,,,,,
