,SCENARIO,,Condition,,Turn,,,Amount,Quality,Usefulness
SCENARIO,1,Ollama,AIReN,turn,0,20260226,092841.json,78,64,70
SCENARIO,1,Ollama,AIReN,turn,1,20260226,103956.json,80,55,60
SCENARIO,1,Ollama,AIReN,turn,2,20260226,114653.json,80,60,55
SCENARIO,1,Ollama,AIReN,turn,3,20260226,125137.json,75,60,55
SCENARIO,1,Ollama,AIReN,turn,4,20260226,140555.json,80,60,65
SCENARIO,1,Ollama,AIReN,turn,5,20260226,151917.json,75,60,70
SCENARIO,1,Ollama,AIReN,turn,6,20260226,162306.json,75,52,60
SCENARIO,1,Ollama,AIReN,turn,7,20260226,172649.json,75,60,65
SCENARIO,1,Ollama,AIReN,turn,8,20260226,184459.json,68,42,56
SCENARIO,1,Ollama,AIReN,turn,9,20260226,195847.json,80,55,60
SCENARIO,2,Ollama,AIReN,turn,0,20260226,094754.json,80,60,65
SCENARIO,2,Ollama,AIReN,turn,1,20260226,105323.json,70,60,65
SCENARIO,2,Ollama,AIReN,turn,2,20260226,115823.json,75,55,60
SCENARIO,2,Ollama,AIReN,turn,3,20260226,130855.json,80,60,65
SCENARIO,2,Ollama,AIReN,turn,4,20260226,141922.json,72,60,64
SCENARIO,2,Ollama,AIReN,turn,5,20260226,153306.json,80,65,60
SCENARIO,2,Ollama,AIReN,turn,6,20260226,163545.json,65,45,55
SCENARIO,2,Ollama,AIReN,turn,7,20260226,173850.json,60,40,45
SCENARIO,2,Ollama,AIReN,turn,8,20260226,190121.json,75,58,62
SCENARIO,2,Ollama,AIReN,turn,9,20260226,201316.json,70,60,55
SCENARIO,3,Ollama,AIReN,turn,0,20260226,095909.json,80,45,55
SCENARIO,3,Ollama,AIReN,turn,1,20260226,110758.json,80,55,65
SCENARIO,3,Ollama,AIReN,turn,2,20260226,120846.json,80,60,65
SCENARIO,3,Ollama,AIReN,turn,3,20260226,132325.json,80,60,60
SCENARIO,3,Ollama,AIReN,turn,4,20260226,143444.json,85,65,60
SCENARIO,3,Ollama,AIReN,turn,5,20260226,154412.json,80,60,65
SCENARIO,3,Ollama,AIReN,turn,6,20260226,164601.json,80,55,45
SCENARIO,3,Ollama,AIReN,turn,7,20260226,175443.json,80,60,65
SCENARIO,3,Ollama,AIReN,turn,8,20260226,191614.json,75,42,58
SCENARIO,3,Ollama,AIReN,turn,9,20260226,202301.json,85,60,55
SCENARIO,4,Ollama,AIReN,turn,0,20260226,101015.json,70,55,55
SCENARIO,4,Ollama,AIReN,turn,1,20260226,112254.json,60,40,45
SCENARIO,4,Ollama,AIReN,turn,2,20260226,122100.json,72,58,60
SCENARIO,4,Ollama,AIReN,turn,3,20260226,133644.json,75,60,55
SCENARIO,4,Ollama,AIReN,turn,4,20260226,145034.json,80,60,60
SCENARIO,4,Ollama,AIReN,turn,5,20260226,155821.json,70,60,65
SCENARIO,4,Ollama,AIReN,turn,6,20260226,170307.json,75,60,60
SCENARIO,4,Ollama,AIReN,turn,7,20260226,181209.json,68,56,55
SCENARIO,4,Ollama,AIReN,turn,8,20260226,192927.json,75,60,60
SCENARIO,4,Ollama,AIReN,turn,9,20260226,204140.json,75,60,55
SCENARIO,5,Ollama,AIReN,turn,0,20260226,102148.json,75,55,50
SCENARIO,5,Ollama,AIReN,turn,1,20260226,113415.json,80,45,60
SCENARIO,5,Ollama,AIReN,turn,2,20260226,123645.json,75,55,50
SCENARIO,5,Ollama,AIReN,turn,3,20260226,134914.json,78,56,62
SCENARIO,5,Ollama,AIReN,turn,4,20260226,150222.json,80,58,62
SCENARIO,5,Ollama,AIReN,turn,5,20260226,160908.json,75,60,60
SCENARIO,5,Ollama,AIReN,turn,6,20260226,171522.json,70,48,47
SCENARIO,5,Ollama,AIReN,turn,7,20260226,182748.json,80,55,60
SCENARIO,5,Ollama,AIReN,turn,8,20260226,194247.json,80,60,65
SCENARIO,5,Ollama,AIReN,turn,9,20260226,205559.json,85,60,70
SCENARIO,1,Ollama,Guided,turn,0,20260225,145850.json,70,45,60
SCENARIO,1,Ollama,Guided,turn,1,20260225,152501.json,80,55,60
SCENARIO,1,Ollama,Guided,turn,2,20260225,155051.json,65,55,45
SCENARIO,1,Ollama,Guided,turn,3,20260225,161510.json,80,60,65
SCENARIO,1,Ollama,Guided,turn,4,20260225,163742.json,70,45,40
SCENARIO,1,Ollama,Guided,turn,5,20260225,171220.json,70,40,40
SCENARIO,1,Ollama,Guided,turn,6,20260225,173814.json,60,45,40
SCENARIO,1,Ollama,Guided,turn,7,20260225,180229.json,70,60,60
SCENARIO,1,Ollama,Guided,turn,8,20260225,182819.json,60,45,55
SCENARIO,1,Ollama,Guided,turn,9,20260225,185133.json,55,40,45
SCENARIO,2,Ollama,Guided,turn,0,20260225,150452.json,75,60,65
SCENARIO,2,Ollama,Guided,turn,1,20260225,153012.json,70,55,50
SCENARIO,2,Ollama,Guided,turn,2,20260225,155529.json,70,60,55
SCENARIO,2,Ollama,Guided,turn,3,20260225,162006.json,60,45,40
SCENARIO,2,Ollama,Guided,turn,4,20260225,165201.json,80,70,72
SCENARIO,2,Ollama,Guided,turn,5,20260225,171740.json,70,60,60
SCENARIO,2,Ollama,Guided,turn,6,20260225,174419.json,65,40,45
SCENARIO,2,Ollama,Guided,turn,7,20260225,180617.json,60,40,35
SCENARIO,2,Ollama,Guided,turn,8,20260225,183235.json,70,50,60
SCENARIO,2,Ollama,Guided,turn,9,20260225,185708.json,75,55,50
SCENARIO,3,Ollama,Guided,turn,0,20260225,151154.json,62,48,54
SCENARIO,3,Ollama,Guided,turn,1,20260225,153714.json,55,40,45
SCENARIO,3,Ollama,Guided,turn,2,20260225,160134.json,68,55,60
SCENARIO,3,Ollama,Guided,turn,3,20260225,162417.json,70,55,55
SCENARIO,3,Ollama,Guided,turn,4,20260225,165734.json,80,40,45
SCENARIO,3,Ollama,Guided,turn,5,20260225,172435.json,80,55,55
SCENARIO,3,Ollama,Guided,turn,6,20260225,174901.json,70,60,45
SCENARIO,3,Ollama,Guided,turn,7,20260225,181127.json,75,58,57
SCENARIO,3,Ollama,Guided,turn,8,20260225,183743.json,85,60,55
SCENARIO,3,Ollama,Guided,turn,9,20260225,190101.json,70,40,60
SCENARIO,4,Ollama,Guided,turn,0,20260225,151543.json,75,45,60
SCENARIO,4,Ollama,Guided,turn,1,20260225,154206.json,65,55,45
SCENARIO,4,Ollama,Guided,turn,2,20260225,160521.json,55,35,30
SCENARIO,4,Ollama,Guided,turn,3,20260225,162913.json,65,45,45
SCENARIO,4,Ollama,Guided,turn,4,20260225,170123.json,70,45,55
SCENARIO,4,Ollama,Guided,turn,5,20260225,172957.json,65,35,45
SCENARIO,4,Ollama,Guided,turn,6,20260225,175301.json,70,55,45
SCENARIO,4,Ollama,Guided,turn,7,20260225,181649.json,70,41,45
SCENARIO,4,Ollama,Guided,turn,8,20260225,184227.json,80,45,50
SCENARIO,4,Ollama,Guided,turn,9,20260225,190806.json,65,55,40
SCENARIO,5,Ollama,Guided,turn,0,20260225,151956.json,75,58,54
SCENARIO,5,Ollama,Guided,turn,1,20260225,154717.json,65,40,45
SCENARIO,5,Ollama,Guided,turn,2,20260225,160905.json,70,55,50
SCENARIO,5,Ollama,Guided,turn,3,20260225,163357.json,60,40,45
SCENARIO,5,Ollama,Guided,turn,4,20260225,170614.json,70,45,45
SCENARIO,5,Ollama,Guided,turn,5,20260225,173338.json,60,40,45
SCENARIO,5,Ollama,Guided,turn,6,20260225,175708.json,75,60,50
SCENARIO,5,Ollama,Guided,turn,7,20260225,182327.json,70,45,40
SCENARIO,5,Ollama,Guided,turn,8,20260225,184718.json,60,55,60
SCENARIO,5,Ollama,Guided,turn,9,20260225,191315.json,80,45,40
SCENARIO,1,Ollama,NoGuided,turn,0,20260225,150048.json,70,55,50
SCENARIO,1,Ollama,NoGuided,turn,1,20260225,152735.json,65,45,40
SCENARIO,1,Ollama,NoGuided,turn,2,20260225,155244.json,70,40,45
SCENARIO,1,Ollama,NoGuided,turn,3,20260225,161646.json,75,60,60
SCENARIO,1,Ollama,NoGuided,turn,4,20260225,164001.json,70,55,60
SCENARIO,1,Ollama,NoGuided,turn,5,20260225,171512.json,70,45,40
SCENARIO,1,Ollama,NoGuided,turn,6,20260225,174053.json,75,40,55
SCENARIO,1,Ollama,NoGuided,turn,7,20260225,180432.json,65,40,55
SCENARIO,1,Ollama,NoGuided,turn,8,20260225,183036.json,75,60,65
SCENARIO,1,Ollama,NoGuided,turn,9,20260225,185516.json,70,40,35
SCENARIO,2,Ollama,NoGuided,turn,0,20260225,150734.json,68,55,60
SCENARIO,2,Ollama,NoGuided,turn,1,20260225,153435.json,75,55,50
SCENARIO,2,Ollama,NoGuided,turn,2,20260225,155906.json,60,50,60
SCENARIO,2,Ollama,NoGuided,turn,3,20260225,162208.json,65,40,45
SCENARIO,2,Ollama,NoGuided,turn,4,20260225,165414.json,75,35,55
SCENARIO,2,Ollama,NoGuided,turn,5,20260225,172129.json,65,55,60
SCENARIO,2,Ollama,NoGuided,turn,6,20260225,174635.json,55,30,30
SCENARIO,2,Ollama,NoGuided,turn,7,20260225,180854.json,60,40,45
SCENARIO,2,Ollama,NoGuided,turn,8,20260225,183445.json,60,45,40
SCENARIO,2,Ollama,NoGuided,turn,9,20260225,185925.json,60,40,45
SCENARIO,3,Ollama,NoGuided,turn,0,20260225,151406.json,65,50,55
SCENARIO,3,Ollama,NoGuided,turn,1,20260225,153855.json,55,40,45
SCENARIO,3,Ollama,NoGuided,turn,2,20260225,160300.json,65,50,50
SCENARIO,3,Ollama,NoGuided,turn,3,20260225,162607.json,70,55,55
SCENARIO,3,Ollama,NoGuided,turn,4,20260225,165936.json,65,55,40
SCENARIO,3,Ollama,NoGuided,turn,5,20260225,172642.json,45,35,30
SCENARIO,3,Ollama,NoGuided,turn,6,20260225,175041.json,60,35,40
SCENARIO,3,Ollama,NoGuided,turn,7,20260225,181401.json,60,45,45
SCENARIO,3,Ollama,NoGuided,turn,8,20260225,183949.json,65,45,55
SCENARIO,3,Ollama,NoGuided,turn,9,20260225,190329.json,55,40,45
SCENARIO,4,Ollama,NoGuided,turn,0,20260225,151730.json,70,45,50
SCENARIO,4,Ollama,NoGuided,turn,1,20260225,154430.json,80,60,55
SCENARIO,4,Ollama,NoGuided,turn,2,20260225,160651.json,60,35,30
SCENARIO,4,Ollama,NoGuided,turn,3,20260225,163108.json,75,40,45
SCENARIO,4,Ollama,NoGuided,turn,4,20260225,170331.json,40,35,30
SCENARIO,4,Ollama,NoGuided,turn,5,20260225,173155.json,70,45,40
SCENARIO,4,Ollama,NoGuided,turn,6,20260225,175523.json,70,45,55
SCENARIO,4,Ollama,NoGuided,turn,7,20260225,181921.json,70,40,40
SCENARIO,4,Ollama,NoGuided,turn,8,20260225,184441.json,80,60,60
SCENARIO,4,Ollama,NoGuided,turn,9,20260225,191027.json,65,40,40
SCENARIO,5,Ollama,NoGuided,turn,0,20260225,152131.json,55,35,37
SCENARIO,5,Ollama,NoGuided,turn,1,20260225,154905.json,65,40,45
SCENARIO,5,Ollama,NoGuided,turn,2,20260225,161210.json,60,40,50
SCENARIO,5,Ollama,NoGuided,turn,3,20260225,163527.json,60,35,30
SCENARIO,5,Ollama,NoGuided,turn,4,20260225,170841.json,70,55,50
SCENARIO,5,Ollama,NoGuided,turn,5,20260225,173505.json,60,40,45
SCENARIO,5,Ollama,NoGuided,turn,6,20260225,175859.json,70,45,40
SCENARIO,5,Ollama,NoGuided,turn,7,20260225,182535.json,60,35,30
SCENARIO,5,Ollama,NoGuided,turn,8,20260225,184921.json,63,44,55
SCENARIO,5,Ollama,NoGuided,turn,9,20260225,191444.json,75,45,55
