SCENARIO,Platform,Condition,turn,date,time,amount,quality,usefulness
5,Ollama,NoGuided,7,20260225,182535.json,45,35,30
5,Ollama,Guided,0,20260225,151956.json,70,55,45
4,Ollama,NoGuided,1,20260225,154430.json,65,55,45
4,Ollama,NoGuided,6,20260225,175523.json,65,40,55
4,Ollama,Guided,3,20260225,162913.json,65,40,45
3,Ollama,NoGuided,3,20260225,162607.json,70,55,45
2,Ollama,Guided,5,20260225,171740.json,75,50,55
3,Ollama,AIReN,1,20260226,110758.json,75,60,65
5,Ollama,NoGuided,3,20260225,163527.json,70,40,45
2,Ollama,Guided,9,20260225,185708.json,70,45,60
2,Ollama,AIReN,2,20260226,115823.json,80,45,60
1,Ollama,AIReN,8,20260226,184459.json,65,55,60
4,Ollama,Guided,8,20260225,184227.json,70,45,40
3,Ollama,Guided,9,20260225,190101.json,75,45,60
2,Ollama,AIReN,9,20260226,201316.json,80,60,60
5,Ollama,AIReN,9,20260226,205559.json,80,58,62
3,Ollama,NoGuided,6,20260225,175041.json,65,35,40
4,Ollama,AIReN,1,20260226,112254.json,70,40,45
5,Ollama,Guided,1,20260225,154717.json,75,55,45
1,Ollama,AIReN,0,20260226,092841.json,75,55,65
3,Ollama,Guided,2,20260225,160134.json,75,60,62
3,Ollama,AIReN,7,20260226,175443.json,80,62,60
1,Ollama,AIReN,2,20260226,114653.json,85,65,70
1,Ollama,AIReN,7,20260226,172649.json,70,55,60
1,Ollama,Guided,6,20260225,173814.json,60,35,40
3,Ollama,AIReN,6,20260226,164601.json,80,60,55
3,Ollama,NoGuided,1,20260225,153855.json,60,40,45
5,Ollama,AIReN,5,20260226,160908.json,78,62,69
2,Ollama,NoGuided,8,20260225,183445.json,60,45,40
3,Ollama,Guided,6,20260225,174901.json,55,55,55
5,Ollama,Guided,7,20260225,182327.json,70,50,45
3,Ollama,AIReN,5,20260226,154412.json,65,45,55
3,Ollama,AIReN,2,20260226,120846.json,78,62,68
4,Ollama,Guided,9,20260225,190806.json,70,40,45
5,Ollama,Guided,9,20260225,191315.json,65,40,35
2,Ollama,NoGuided,0,20260225,150734.json,75,60,60
4,Ollama,Guided,0,20260225,151543.json,80,40,55
5,Ollama,AIReN,7,20260226,182748.json,80,58,62
2,Ollama,AIReN,1,20260226,105323.json,75,60,65
5,Ollama,NoGuided,2,20260225,161210.json,65,45,60
3,Ollama,AIReN,0,20260226,095909.json,70,45,55
3,Ollama,Guided,5,20260225,172435.json,78,60,62
3,Ollama,AIReN,9,20260226,202301.json,80,66,72
4,Ollama,Guided,1,20260225,154206.json,65,55,45
4,Ollama,AIReN,9,20260226,204140.json,80,45,55
2,Ollama,NoGuided,7,20260225,180854.json,80,40,55
4,Ollama,NoGuided,9,20260225,191027.json,65,40,35
5,Ollama,AIReN,4,20260226,150222.json,80,60,60
5,Ollama,Guided,8,20260225,184718.json,70,55,58
4,Ollama,Guided,7,20260225,181649.json,60,45,55
1,Ollama,NoGuided,6,20260225,174053.json,65,55,45
5,Ollama,AIReN,1,20260226,113415.json,75,55,60
5,Ollama,AIReN,8,20260226,194247.json,80,60,58
4,Ollama,AIReN,6,20260226,170307.json,80,60,65
1,Ollama,Guided,1,20260225,152501.json,75,55,50
2,Ollama,AIReN,5,20260226,153306.json,75,60,65
1,Ollama,AIReN,5,20260226,151917.json,80,60,60
1,Ollama,NoGuided,4,20260225,164001.json,78,60,58
1,Ollama,NoGuided,2,20260225,155244.json,70,45,45
1,Ollama,NoGuided,1,20260225,152735.json,55,45,50
1,Ollama,NoGuided,0,20260225,150048.json,60,45,45
4,Ollama,Guided,5,20260225,172957.json,60,40,40
1,Ollama,NoGuided,5,20260225,171512.json,65,40,40
3,Ollama,NoGuided,0,20260225,151406.json,65,45,40
2,Ollama,Guided,6,20260225,174419.json,65,45,45
2,Ollama,NoGuided,2,20260225,155906.json,65,40,55
1,Ollama,NoGuided,3,20260225,161646.json,75,60,55
3,Ollama,NoGuided,2,20260225,160300.json,70,55,60
3,Ollama,Guided,4,20260225,165734.json,75,40,35
1,Ollama,AIReN,9,20260226,195847.json,80,55,60
2,Ollama,Guided,0,20260225,150452.json,70,45,55
5,Ollama,AIReN,3,20260226,134914.json,70,45,55
5,Ollama,Guided,2,20260225,160905.json,70,40,40
1,Ollama,NoGuided,7,20260225,180432.json,70,40,45
5,Ollama,NoGuided,8,20260225,184921.json,67,60,55
2,Ollama,Guided,1,20260225,153012.json,80,60,65
2,Ollama,AIReN,3,20260226,130855.json,69,47,61
4,Ollama,AIReN,5,20260226,155821.json,75,60,65
2,Ollama,NoGuided,9,20260225,185925.json,60,40,45
1,Ollama,NoGuided,8,20260225,183036.json,75,60,55
2,Ollama,Guided,3,20260225,162006.json,70,55,58
5,Ollama,NoGuided,1,20260225,154905.json,65,40,55
3,Ollama,AIReN,8,20260226,191614.json,68,42,58
2,Ollama,NoGuided,6,20260225,174635.json,65,33,30
4,Ollama,NoGuided,2,20260225,160651.json,65,45,40
3,Ollama,AIReN,4,20260226,143444.json,73,60,64
3,Ollama,Guided,7,20260225,181127.json,70,48,55
1,Ollama,Guided,0,20260225,145850.json,70,46,55
5,Ollama,AIReN,6,20260226,171522.json,70,55,50
3,Ollama,Guided,1,20260225,153714.json,80,45,35
4,Ollama,NoGuided,0,20260225,151730.json,80,45,40
4,Ollama,AIReN,4,20260226,145034.json,80,58,62
1,Ollama,AIReN,6,20260226,162306.json,85,60,70
2,Ollama,Guided,7,20260225,180617.json,60,40,35
4,Ollama,NoGuided,4,20260225,170331.json,45,35,35
